"rb";"nazivDobavljaca";"nazivPruzatelja";"oib";"adresaPruzatelja";"rbDatumRacuna";"brMedijskihUsluga";"iznosCijeneBezPopusta";"popustPostotak";"placeniIznosPopust";"obveznik_id"
"46";"Akter Public d.o.o.";"HRT";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";12511.47;0;15639.34;"1690244322"
"47";"Akter Public d.o.o.";"HRT";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";12511.47;0;15639.34;"1690244322"
"48";"Akter Public d.o.o.";"HRT";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";12511.47;0;15639.34;"1690244322"
"49";"Akter Public d.o.o.";"HRT";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";12511.47;0;15639.34;"1690244322"
"50";"Akter Public d.o.o.";"HRT";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";12511.47;0;15639.34;"1690244322"
"51";"Akter Public d.o.o.";"HRT";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";12511.47;0;15639.34;"1690244322"
"52";"Akter Public d.o.o.";"Hrvatski radio Knin";"60260099259";"Knin, Knin";"895-AKT-1 / 26.06.2020";"15";1090.8;50;681.75;"1690244322"
"53";"Akter Public d.o.o.";"Hrvatski radio Osijek";"60260099259";"Osijek, Osijek";"900-AKT-1 / 26.06.2020";"40";3383.5;50;2114.69;"1690244322"
"54";"Akter Public d.o.o.";"Hrvatski tjednik";"60260099259";"Zadar, Zadar";"899-AKT-1 / 26.06.2020";"2";7070;0;8837.5;"1690244322"
"55";"AKTER PUBLIC d.o.o.";"Midas mreža";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";4040;0;5050;"1690244322"
"56";"AKTER PUBLIC d.o.o.";"Midas mreža";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";4040;0;5050;"1690244322"
"57";"AKTER PUBLIC d.o.o.";"Midas mreža";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";4040;0;5050;"1690244322"
"58";"AKTER PUBLIC d.o.o.";"Midas mreža";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";4040;0;5050;"1690244322"
"59";"AKTER PUBLIC d.o.o.";"Midas mreža";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";4040;0;5050;"1690244322"
"60";"AKTER PUBLIC d.o.o.";"Midas mreža";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";4040;0;5050;"1690244322"
"61";"AKTER PUBLIC d.o.o.";"Midas mreža";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";4040;0;5050;"1690244322"
"62";"AKTER PUBLIC d.o.o.";"Midas mreža";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";4040;0;5050;"1690244322"
"63";"AKTER PUBLIC d.o.o.";"Midas mreža";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";4040;0;5050;"1690244322"
"64";"AKTER PUBLIC d.o.o.";"Midas mreža";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";4040;0;5050;"1690244322"
"65";"Akter Public d.o.o.";"N1 Televizija";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";2525;0;3156.25;"1690244322"
"66";"Akter Public d.o.o.";"N1 Televizija";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";2525;0;3156.25;"1690244322"
"67";"Akter Public d.o.o.";"N1 Televizija";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";2525;0;3156.25;"1690244322"
"68";"Akter Public d.o.o.";"N1 Televizija";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";2525;0;3156.25;"1690244322"
"69";"Akter Public d.o.o.";"N1 Televizija";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";2525;0;3156.25;"1690244322"
"70";"Akter Public d.o.o.";"N1 Televizija";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";2525;0;3156.25;"1690244322"
"71";"Akter Public d.o.o.";"N1 Televizija";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";2525;0;3156.25;"1690244322"
"72";"Akter Public d.o.o.";"N1 Televizija";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";2525;0;3156.25;"1690244322"
"73";"Akter Public d.o.o.";"N1 Televizija";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";2525;0;3156.25;"1690244322"
"74";"Akter Public d.o.o.";"N1 Televizija";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";2525;0;3156.25;"1690244322"
"75";"Akter Public d.o.o.";"NOVA TV";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";9923.25;0;12404.06;"1690244322"
"76";"Akter Public d.o.o.";"NOVA TV";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";9923.25;0;12404.06;"1690244322"
"77";"Akter Public d.o.o.";"NOVA TV";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";9923.25;0;12404.06;"1690244322"
"78";"Akter Public d.o.o.";"NOVA TV";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";9923.25;0;12404.06;"1690244322"
"79";"Akter Public d.o.o.";"NOVA TV";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";9923.25;0;12404.06;"1690244322"
"80";"Akter Public d.o.o.";"NOVA TV";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";9923.25;0;12404.06;"1690244322"
"81";"Akter Public d.o.o.";"NOVA TV";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";9923.25;0;12404.06;"1690244322"
"82";"Akter Public d.o.o.";"NOVA TV";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";9923.25;0;12404.06;"1690244322"
"83";"Akter Public d.o.o.";"NOVA TV";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";9923.25;0;12404.06;"1690244322"
"84";"Akter Public d.o.o.";"NOVA TV";"60260099259";"Zagreb, Zagreb";"901-AKT-1 / 26.06.2020";"1";9923.25;0;12404.06;"1690244322"
"85";"Akter Public d.o.o.";"Novi Radio Zadar";"60260099259";"Zadar, Zadar";"895-AKT-1 / 26.06.2020";"15";2727;28;2454.3;"1690244322"
"86";"Akter Public d.o.o.";"Radio Baranja";"60260099259";"Beli Manastir, Beli Manastir";"900-AKT-1 / 26.06.2020";"40";1666.51;24;1583.19;"1690244322"
"87";"Akter Public d.o.o.";"Radio Dalmacija";"60260099259";"Split, Split";"895-AKT-1 / 26.06.2020";"15";5726.71;5;6800.46;"1690244322"
"88";"Akter Public d.o.o.";"Radio Đakovo";"60260099259";"Đakovo, Đakovo";"900-AKT-1 / 26.06.2020";"40";2511.49;24.8;2354.52;"1690244322"
"89";"Akter Public d.o.o.";"Radio Gospić";"60260099259";"Gospić, Gospić";"895-AKT-1 / 26.06.2020";"15";631.26;10;710.16;"1690244322"
"90";"Akter Public d.o.o.";"Radio Imotski";"60260099259";"Imotski, Imotski";"895-AKT-1 / 26.06.2020";"15";1181.7;20;1181.7;"1690244322"
"91";"Akter Public d.o.o.";"Radio Makarska Rivijera";"60260099259";"Makarska, Makarska";"895-AKT-1 / 26.06.2020";"15";757.5;24;719.62;"1690244322"
"92";"Akter Public d.o.o.";"Radio Našice";"60260099259";"Našice, Našice";"894-AKT-1 / 26.06.2020";"19";959.5;20;959.5;"1690244322"
"93";"AKTER PUBLIC d.o.o.";"Radio Našice";"60260099259";"Našice, Našice";"898-AKT-1 / 26.06.2020";"1";707;20;707;"1690244322"
"94";"Akter Public d.o.o.";"Radio Našice";"60260099259";"Našice, Našice";"900-AKT-1 / 26.06.2020";"40";1151.39;24;1093.83;"1690244322"
"95";"Akter Public d.o.o.";"Radio Nova Gradiška";"60260099259";"Nova Gradiška, Nova Gradiška";"894-AKT-1 / 26.06.2020";"12";1151.4;20;1151.4;"1690244322"
"96";"Akter Public d.o.o.";"Radio Orahovica";"60260099259";"Orahovica, Orahovica";"900-AKT-1 / 26.06.2020";"40";1151.39;24;1093.82;"1690244322"
"97";"Akter Public d.o.o.";"Radio Otočac";"60260099259";"Otočac, Otočac";"895-AKT-1 / 26.06.2020";"15";604.12;19.25;611.68;"1690244322"
"98";"Akter Public d.o.o.";"Radio Ragusa";"60260099259";"Dubrovnik, Dubrovnik";"895-AKT-1 / 26.06.2020";"25";2758.34;42.4;1999.8;"1690244322"
"99";"Akter Public d.o.o.";"Radio Slatina";"60260099259";"Slatina, Slatina";"900-AKT-1 / 26.06.2020";"40";1413.99;24;1343.29;"1690244322"
"100";"Akter Public d.o.o.";"Radio Slavonija";"60260099259";"Slavonski Brod, Slavonski Brod";"894-AKT-1 / 26.06.2020";"12";1454.4;28;1308.96;"1690244322"
"101";"Akter Public d.o.o.";"Radio Valis Aurea";"60260099259";"Požega, Požega";"894-AKT-1 / 26.06.2020";"17";1631.15;20;1631.15;"1690244322"
"102";"Akter Public d.o.o.";"Radio Vinkovci";"60260099259";"Vinkovci, Vinkovci";"894-AKT-1 / 26.06.2020";"14";2262.4;15;2403.8;"1690244322"
"103";"Akter Public d.o.o.";"Radio Virovitica";"60260099259";"Virovitica, Virovitica";"894-AKT-1 / 26.06.2020";"17";1201.89;10;1352.13;"1690244322"
"104";"Akter Public d.o.o.";"Radio Vukovar";"60260099259";"Vukovar, Vukovar";"894-AKT-1 / 26.06.2020";"14";1060.5;20;1060.5;"1690244322"
"105";"Akter Public d.o.o.";"Slavonski radio Osijek";"60260099259";"Osijek, Osijek";"894-AKT-1 / 26.06.2020";"12";1575.6;20;1575.6;"1690244322"
"106";"Akter Public d.o.o.";"Slavonski radio Osijek";"60260099259";"Osijek, Osijek";"900-AKT-1 / 26.06.2020";"40";4363.2;24;4145.04;"1690244322"
"107";"AKTER PUBLIC d.o.o.";"www.24.sata.hr";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";1616;0;2020;"1690244322"
"108";"AKTER PUBLIC d.o.o.";"www.24.sata.hr";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";1616;0;2020;"1690244322"
"109";"AKTER PUBLIC d.o.o.";"www.24.sata.hr";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";1616;0;2020;"1690244322"
"110";"AKTER PUBLIC d.o.o.";"www.24.sata.hr";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";1616;0;2020;"1690244322"
"111";"AKTER PUBLIC d.o.o.";"www.24.sata.hr";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";1616;0;2020;"1690244322"
"112";"AKTER PUBLIC d.o.o.";"www.24.sata.hr";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";1616;0;2020;"1690244322"
"113";"AKTER PUBLIC d.o.o.";"www.24.sata.hr";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";1616;0;2020;"1690244322"
"114";"AKTER PUBLIC d.o.o.";"www.24.sata.hr";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";1616;0;2020;"1690244322"
"115";"AKTER PUBLIC d.o.o.";"www.24.sata.hr";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";1616;0;2020;"1690244322"
"116";"AKTER PUBLIC d.o.o.";"www.24.sata.hr";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";1616;0;2020;"1690244322"
"117";"AKTER PUBLIC d.o.o.";"www.dalmatinskiportal.hr";"60260099259";"Split, Split";"892-AKT-1 / 26.06.2020";"1";3029.85;0;3787.31;"1690244322"
"118";"AKTER PUBLIC d.o.o.";"www.dalmatinskiportal.hr";"60260099259";"Split, Split";"896-AKT-1 / 26.06.2020";"1";10100;0;12625;"1690244322"
"119";"AKTER PUBLIC d.o.o.";"www.dnevnik.hr";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";1454.4;0;1818;"1690244322"
"120";"AKTER PUBLIC d.o.o.";"www.dnevnik.hr";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";1454.4;0;1818;"1690244322"
"121";"AKTER PUBLIC d.o.o.";"www.dnevnik.hr";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";1454.4;0;1818;"1690244322"
"122";"AKTER PUBLIC d.o.o.";"www.dnevnik.hr";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";1454.4;0;1818;"1690244322"
"123";"AKTER PUBLIC d.o.o.";"www.dnevnik.hr";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";1454.4;0;1818;"1690244322"
"124";"AKTER PUBLIC d.o.o.";"www.dnevnik.hr";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";1454.4;0;1818;"1690244322"
"125";"AKTER PUBLIC d.o.o.";"www.dnevnik.hr";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";1454.4;0;1818;"1690244322"
"126";"AKTER PUBLIC d.o.o.";"www.dnevnik.hr";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";1454.4;0;1818;"1690244322"
"127";"AKTER PUBLIC d.o.o.";"www.dnevnik.hr";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";1454.4;0;1818;"1690244322"
"128";"AKTER PUBLIC d.o.o.";"www.dnevnik.hr";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";1454.4;0;1818;"1690244322"
"129";"AKTER PUBLIC d.o.o.";"www.dnevno.hr";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";727.2;0;909;"1690244322"
"130";"AKTER PUBLIC d.o.o.";"www.dnevno.hr";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";727.2;0;909;"1690244322"
"131";"AKTER PUBLIC d.o.o.";"www.dnevno.hr";"60260099259";"Zagreb, Zagreb";"892-AKT-1 / 26.06.2020";"1";727.2;0;909;"1690244322"
